City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
633,Palomares,MX,17.15,-95.0667,73.72,89,16,3.49,few clouds
634,Dedougou,BF,12.4667,-3.4667,77.49,70,97,7.61,overcast clouds
635,Ossora,RU,59.2353,163.0719,46.45,91,100,9.19,light rain
636,Kesabpur,BD,22.9167,89.2167,87.87,65,100,19.3,light rain
637,Kesan,TR,40.8558,26.6303,56.55,81,0,6.46,clear sky
638,Gilleleje,DK,56.122,12.3106,57.97,82,99,11.59,overcast clouds
639,Henties Bay,NA,-22.116,14.2845,57.79,75,2,9.13,clear sky
640,Puerto Escondido,MX,15.85,-97.0667,78.64,80,100,5.48,overcast clouds
641,Chimore,BO,-16.9833,-65.1333,69.64,78,54,1.25,broken clouds
642,Baglung,NP,28.2719,83.5898,75.99,74,41,1.92,scattered clouds
643,Poum,NC,-20.2333,164.0167,79.23,80,100,14.97,overcast clouds
644,Mineral Wells,US,32.8085,-98.1128,93.65,35,0,9.22,clear sky
645,Ajdabiya,LY,30.7554,20.2263,73.76,57,0,8.03,clear sky
646,Arang,IN,21.2,81.9667,86.32,62,100,8.23,overcast clouds
647,Dongsheng,CN,39.8161,109.9776,86.65,11,100,15.48,overcast clouds
648,Sharlyk,RU,52.9167,54.75,66.42,67,71,5.06,broken clouds
649,Catamarca,AR,-28.4696,-65.7852,51.78,52,0,1.99,clear sky
650,Mozarlandia,BR,-14.7447,-50.5706,75.25,43,8,2.1,clear sky
651,Golden,US,39.7555,-105.2211,87.03,29,40,14.97,scattered clouds
652,Bocaiuva,BR,-17.1078,-43.815,60.51,60,0,3.15,clear sky
653,Basna,IN,21.2833,82.8167,85.44,52,100,8.23,overcast clouds
654,Peniche,PT,39.3558,-9.3811,63.09,93,88,1.79,overcast clouds
655,Longido,TZ,-2.7333,36.6833,56.39,91,55,3.98,broken clouds
656,Suluova,TR,40.8313,35.6479,57.06,88,0,0.0,clear sky
657,Mao,ES,39.8885,4.2658,70.36,94,0,4.61,clear sky
658,Diego De Almagro,CL,-26.3667,-70.05,43.86,83,0,0.6,clear sky
659,Dehloran,IR,32.6941,47.2679,87.98,13,0,8.75,clear sky
660,Ulagan,RU,50.6321,87.9563,56.48,69,33,2.84,scattered clouds
661,Marondera,ZW,-18.1853,31.5519,44.74,97,32,3.49,scattered clouds
662,Jawhar,SO,2.7809,45.5005,72.79,94,99,7.38,overcast clouds
663,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,70.48,97,100,14.83,overcast clouds
664,Rocha,UY,-34.4833,-54.3333,53.08,92,100,3.33,light rain
665,Mayumba,GA,-3.432,10.6554,70.43,88,41,2.44,scattered clouds
666,Grindavik,IS,63.8424,-22.4338,48.67,87,100,12.66,light rain
667,Medicine Hat,CA,50.0501,-110.6683,72.03,53,75,13.8,broken clouds
668,Netivot,IL,31.4222,34.5886,71.6,85,0,6.24,clear sky
669,Chinsali,ZM,-10.5414,32.0816,57.24,72,12,8.68,few clouds
670,Vardo,NO,70.3705,31.1107,40.98,81,100,13.8,overcast clouds
671,Batemans Bay,AU,-35.7167,150.1833,59.09,51,58,8.12,broken clouds
672,Buchanan,LR,5.8808,-10.0467,76.3,90,100,11.52,moderate rain
673,Maceio,BR,-9.6658,-35.7353,71.04,94,75,3.44,broken clouds
674,Kloulklubed,PW,7.0419,134.2556,84.7,68,100,5.01,overcast clouds
675,Chabahar,IR,25.2919,60.643,83.21,86,49,12.46,scattered clouds
676,Yaan,NG,7.3833,8.5667,71.06,97,100,6.08,overcast clouds
677,Yanam,IN,16.7333,82.2167,85.39,74,100,5.57,overcast clouds
678,Puerto Colombia,CO,10.9878,-74.9547,78.89,83,100,6.53,overcast clouds
679,Hutchinson,US,38.0608,-97.9298,89.04,53,0,5.75,clear sky
680,Damietta,EG,31.4165,31.8133,75.09,76,0,11.61,clear sky
681,Puerto Leguizamo,CO,-0.1934,-74.7819,71.2,91,19,2.44,few clouds
682,Antalaha,MG,-14.9003,50.2788,66.58,89,8,4.32,clear sky
683,Almaznyy,RU,48.0448,40.045,55.56,74,1,5.3,clear sky
684,Tianjin,CN,39.1422,117.1767,80.55,69,2,6.71,clear sky
685,Morondava,MG,-20.2833,44.2833,65.75,83,0,11.95,clear sky
686,Waddan,LY,29.1614,16.139,73.15,58,0,3.11,clear sky
687,Inhambane,MZ,-23.865,35.3833,59.97,71,0,7.0,clear sky
688,Margate,GB,51.3813,1.3862,64.69,75,95,1.01,overcast clouds
689,Mitsamiouli,KM,-11.3847,43.2844,76.75,67,0,5.14,clear sky
690,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,72,0,8.05,clear sky
691,Chirongui,YT,-12.9319,45.1483,76.93,69,2,14.7,clear sky
692,Beni,CD,0.5,29.4667,60.42,88,19,2.91,few clouds
693,Tunkas,MX,20.9,-88.75,76.06,85,54,5.7,broken clouds
694,Mbanza-Ngungu,CD,-5.25,14.8667,62.85,86,93,5.17,overcast clouds
695,Kita,ML,13.0349,-9.4895,75.88,76,98,8.52,overcast clouds
696,Harindanga,IN,22.0383,88.3214,86.99,69,83,20.92,broken clouds
697,Oriximina,BR,-1.7656,-55.8661,73.36,78,10,2.84,clear sky
698,Jacareacanga,BR,-6.2222,-57.7528,73.76,74,86,0.96,overcast clouds
699,Camara De Lobos,PT,32.6333,-16.9667,68.63,87,20,6.91,few clouds
700,Wanning,CN,18.8003,110.3967,86.59,74,72,15.59,broken clouds
701,Hearst,CA,49.6835,-83.6665,61.05,86,73,13.33,broken clouds
702,Laguna,US,38.421,-121.4238,81.45,36,0,20.71,clear sky
703,Krasnystaw,PL,50.9846,23.1742,61.0,94,100,1.61,overcast clouds
704,Hattiesburg,US,31.3271,-89.2903,82.69,93,0,0.0,clear sky
705,Arlit,NE,18.7369,7.3853,87.66,29,97,5.82,overcast clouds
706,Warri,NG,5.5167,5.75,74.08,94,100,2.3,light rain
707,Marolambo,MG,-20.05,48.1167,58.5,96,0,3.49,clear sky
708,Kununurra,AU,-15.7667,128.7333,82.38,18,6,14.97,clear sky
709,Nakamura,JP,32.9833,132.9333,79.66,70,100,1.61,light rain
710,Hermiston,US,45.8404,-119.2895,75.22,48,0,3.44,clear sky
711,Diffa,NE,13.3154,12.6113,83.05,50,17,10.49,few clouds
712,Punta Alta,AR,-38.8759,-62.0736,51.04,48,0,20.89,clear sky
713,Toda Raisingh,IN,26.0252,75.4849,89.38,51,2,14.52,clear sky
714,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,93,14,4.43,few clouds
