City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
693,Tunkas,MX,76.06,broken clouds,20.9,-88.75,Posada Tunkás
695,Kita,ML,75.88,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
696,Harindanga,IN,86.99,broken clouds,22.0383,88.3214,Hasanur Builders
700,Wanning,CN,86.59,broken clouds,18.8003,110.3967,Paradise Hotel
702,Laguna,US,81.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
704,Hattiesburg,US,82.69,clear sky,31.3271,-89.2903,Quality Inn & Suites
705,Arlit,NE,87.66,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
708,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
709,Nakamura,JP,79.66,light rain,32.9833,132.9333,Hotel Crown Hills Nakamura
710,Hermiston,US,75.22,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
711,Diffa,NE,83.05,few clouds,13.3154,12.6113,ProDAF/Diffa
713,Toda Raisingh,IN,89.38,clear sky,26.0252,75.4849,MONU ajmera
